first_seen_utc,dst_ip,dst_port,c2_status,last_online,malware
21/03/15 12:14,91.235.129.199,443,online,21/03/21,TrickBot
21/03/15 12:28,62.75.168.152,6601,online,21/03/21,Dridex
21/03/15 12:28,147.78.186.4,10051,offline,21/03/16,Dridex
21/03/15 12:28,210.65.244.184,443,online,21/03/21,Dridex
21/03/15 21:00,174.105.233.82,449,offline,21/03/18,TrickBot
21/03/15 23:14,45.164.80.94,447,offline,21/03/20,TrickBot
21/03/17 17:38,77.220.64.137,443,online,21/03/21,Dridex
21/03/17 17:38,199.204.214.26,7073,online,21/03/21,Dridex
21/03/20 00:25,95.140.127.82,447,offline,21/03/20,TrickBot
# END 203 entries,,,,,
